Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,day_from_jan_first,Lat,Long,Country/Province,firstcase,density,medianage,urbanpop,hospibed,sexratio,lung,fertility,avgtemp,avghumidity,month,day,days_from_firstcase
1,,Afghanistan,22/1/2020,0,0,22,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,22,-32
2,,Afghanistan,23/1/2020,0,0,23,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,23,-31
3,,Afghanistan,24/1/2020,0,0,24,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,24,-30
4,,Afghanistan,25/1/2020,0,0,25,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,25,-29
5,,Afghanistan,26/1/2020,0,0,26,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,26,-28
6,,Afghanistan,27/1/2020,0,0,27,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,27,-27
7,,Afghanistan,28/1/2020,0,0,28,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,28,-26
8,,Afghanistan,29/1/2020,0,0,29,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,29,-25
9,,Afghanistan,30/1/2020,0,0,30,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,30,-24
10,,Afghanistan,31/1/2020,0,0,31,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,1,31,-23
11,,Afghanistan,1/2/2020,0,0,32,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,1,-22
12,,Afghanistan,2/2/2020,0,0,33,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,2,-21
13,,Afghanistan,3/2/2020,0,0,34,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,3,-20
14,,Afghanistan,4/2/2020,0,0,35,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,4,-19
15,,Afghanistan,5/2/2020,0,0,36,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,5,-18
16,,Afghanistan,6/2/2020,0,0,37,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,6,-17
17,,Afghanistan,7/2/2020,0,0,38,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,7,-16
18,,Afghanistan,8/2/2020,0,0,39,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,8,-15
19,,Afghanistan,9/2/2020,0,0,40,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,9,-14
20,,Afghanistan,10/2/2020,0,0,41,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,10,-13
21,,Afghanistan,11/2/2020,0,0,42,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,11,-12
22,,Afghanistan,12/2/2020,0,0,43,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,12,-11
23,,Afghanistan,13/2/2020,0,0,44,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,13,-10
24,,Afghanistan,14/2/2020,0,0,45,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,14,-9
25,,Afghanistan,15/2/2020,0,0,46,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,15,-8
26,,Afghanistan,16/2/2020,0,0,47,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,16,-7
27,,Afghanistan,17/2/2020,0,0,48,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,17,-6
28,,Afghanistan,18/2/2020,0,0,49,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,18,-5
29,,Afghanistan,19/2/2020,0,0,50,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,19,-4
30,,Afghanistan,20/2/2020,0,0,51,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,20,-3
31,,Afghanistan,21/2/2020,0,0,52,33,65,Afghanistan,23/2/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,2,21,-2
